iter	Passed	Remaining
405	7018	10267
406	7032	10245
407	7047	10225
408	7062	10204
409	7078	10186
410	7092	10163
411	7109	10146
412	7124	10126
413	7139	10105
414	7155	10086
415	7168	10063
416	7180	10039
417	7198	10022
418	7217	10007
419	7231	9985
420	7246	9966
421	7260	9944
422	7276	9926
423	7291	9905
424	7304	9883
425	7319	9863
426	7333	9841
427	7349	9821
428	7362	9799
429	7378	9781
430	7394	9762
431	7410	9743
432	7426	9724
433	7443	9707
434	7457	9685
435	7471	9665
436	7487	9646
437	7502	9626
438	7516	9605
439	7530	9583
440	7543	9561
441	7558	9542
442	7574	9524
443	7592	9507
444	7606	9486
445	7619	9464
446	7633	9444
447	7650	9426
448	7666	9407
449	7681	9388
450	7695	9367
451	7710	9348
452	7727	9330
453	7743	9312
454	7757	9292
455	7771	9271
456	7785	9250
457	7799	9230
458	7816	9212
459	7830	9192
460	7843	9171
461	7861	9154
462	7877	9136
463	7893	9118
464	7907	9098
465	7923	9079
466	7939	9061
467	7955	9043
468	7971	9025
469	7985	9004
470	8001	8986
471	8016	8967
472	8031	8948
473	8047	8930
474	8063	8912
475	8079	8893
476	8093	8873
477	8112	8859
478	8128	8840
479	8141	8819
480	8156	8800
481	8171	8782
482	8186	8762
483	8202	8745
484	8217	8726
485	8233	8707
486	8249	8689
487	8265	8672
488	8280	8653
489	8295	8634
490	8310	8614
491	8326	8596
492	8340	8577
493	8356	8559
494	8370	8539
495	8386	8521
496	8400	8502
497	8416	8484
498	8431	8465
499	8447	8447
500	8465	8431
501	8483	8416
502	8498	8397
503	8515	8380
504	8529	8360
505	8545	8343
506	8558	8322
507	8573	8303
508	8589	8285
509	8605	8267
510	8620	8249
511	8635	8230
512	8649	8210
513	8663	8191
514	8677	8171
515	8691	8152
516	8708	8135
517	8723	8117
518	8770	8128
519	8793	8116
520	8809	8099
521	8824	8080
522	8838	8060
523	8855	8044
524	8870	8025
525	8884	8006
526	8901	7989
527	8916	7970
528	8932	7953
529	8946	7933
530	8959	7913
531	8975	7895
532	8988	7875
533	9003	7856
534	9021	7841
535	9038	7824
536	9053	7805
537	9067	7786
538	9083	7768
539	9100	7752
540	9114	7733
541	9134	7719
542	9150	7701
543	9167	7684
544	9181	7665
545	9196	7646
546	9211	7628
547	9225	7609
548	9242	7592
549	9257	7574
550	9273	7556
551	9320	7564
552	9346	7554
553	9364	7538
554	9380	7521
555	9400	7506
556	9422	7493
557	9445	7481
558	9466	7468
559	9496	7461
560	9515	7446
561	9531	7428
562	9552	7414
563	9571	7399
564	9594	7386
565	9611	7369
566	9628	7352
567	9647	7337
568	9663	7320
569	9681	7303
570	9700	7287
571	9718	7271
572	9737	7256
573	9753	7238
574	9770	7221
575	9785	7203
576	9800	7184
577	9816	7167
578	9831	7148
579	9850	7132
580	9865	7114
581	9880	7096
582	9895	7078
583	9909	7059
584	9925	7041
585	9940	7023
586	9958	7006
587	9973	6988
588	9993	6973
589	10011	6956
590	10027	6939
591	10042	6920
592	10057	6902
593	10074	6885
594	10088	6867
595	10105	6849
596	10120	6831
597	10139	6816
598	10157	6800
599	10171	6781
600	10186	6762
601	10201	6744
602	10216	6726
603	10230	6707
604	10245	6689
605	10259	6670
606	10275	6652
607	10291	6635
608	10305	6616
609	10319	6597
610	10333	6578
611	10348	6561
612	10362	6542
613	10376	6523
614	10395	6507
615	10410	6489
616	10432	6476
617	10447	6457
618	10463	6440
619	10479	6423
620	10495	6405
621	10510	6387
622	10524	6369
623	10540	6351
624	10555	6333
625	10571	6315
626	10586	6297
627	10600	6279
628	10616	6261
629	10636	6246
630	10650	6228
631	10665	6210
632	10678	6191
633	10692	6172
634	10709	6155
635	10723	6137
636	10740	6120
637	10754	6101
638	10768	6083
639	10782	6065
640	10799	6048
641	10812	6029
642	10827	6011
643	10841	5993
644	10858	5976
645	10875	5959
646	10889	5941
647	10905	5924
648	10921	5906
649	10940	5891
650	10956	5873
651	10972	5856
652	10988	5839
653	11003	5821
654	11019	5804
655	11034	5786
656	11048	5768
657	11063	5750
658	11078	5732
659	11093	5714
660	11109	5697
661	11125	5680
662	11142	5663
663	11157	5645
664	11172	5628
665	11188	5610
666	11203	5593
667	11219	5576
668	11234	5558
669	11249	5540
670	11265	5523
671	11279	5505
672	11293	5487
673	11309	5470
674	11323	5451
675	11338	5434
676	11353	5416
677	11368	5398
678	11382	5380
679	11397	5363
680	11412	5346
681	11427	5328
682	11442	5310
683	11457	5293
684	11472	5275
685	11487	5257
686	11499	5239
687	11514	5221
688	11528	5203
689	11543	5186
690	11557	5168
691	11571	5150
692	11585	5132
693	11599	5114
694	11613	5096
695	11627	5078
696	11643	5061
697	11660	5045
698	11676	5027
699	11689	5009
700	11703	4991
701	11719	4974
702	11734	4957
703	11748	4939
704	11762	4921
705	11780	4905
706	11794	4888
707	11809	4870
708	11823	4852
709	11838	4835
710	11854	4818
711	11868	4800
712	11882	4782
713	11898	4766
714	11915	4749
715	11929	4731
716	11946	4715
717	11960	4697
718	11974	4679
719	11988	4662
720	12005	4645
721	12020	4628
722	12036	4611
723	12052	4594
724	12067	4577
725	12082	4559
726	12096	4542
727	12111	4525
728	12126	4507
729	12140	4490
730	12157	4473
731	12173	4456
732	12189	4440
733	12205	4423
734	12224	4407
735	12238	4389
736	12255	4373
737	12268	4355
738	12283	4338
739	12297	4320
740	12314	4304
741	12331	4287
742	12345	4270
743	12360	4253
744	12375	4235
745	12390	4218
746	12404	4201
747	12420	4184
748	12436	4167
749	12451	4150
750	12466	4133
751	12480	4115
752	12494	4098
753	12509	4081
754	12524	4064
755	12539	4046
756	12555	4030
757	12569	4012
758	12583	3995
759	12599	3978
760	12612	3961
761	12627	3944
762	12642	3927
763	12658	3910
764	12672	3892
765	12687	3875
766	12705	3859
767	12722	3843
768	12737	3826
769	12752	3809
770	12767	3792
771	12781	3774
772	12797	3758
773	12813	3741
774	12829	3724
775	12844	3707
776	12859	3690
777	12873	3673
778	12889	3656
779	12905	3640
780	12919	3622
781	12935	3606
782	12951	3589
