iter	Logloss
0	0.6836295993
1	0.6743286444
2	0.6656737033
3	0.6572025002
4	0.6487301784
5	0.641351428
6	0.6348240165
7	0.6276995934
8	0.6203466239
9	0.6137138137
10	0.6082856016
11	0.6031331147
12	0.5974859806
13	0.591836033
14	0.5865109205
15	0.5816120172
16	0.57721603
17	0.5731202416
18	0.568901379
19	0.5651660925
20	0.561287259
21	0.5580324661
22	0.5547448292
23	0.5513353575
24	0.5483335283
25	0.5457171833
26	0.543142168
27	0.540252914
28	0.5374513209
29	0.5347984092
30	0.5324141606
31	0.5299749578
32	0.5280636326
33	0.5259581956
34	0.5237266635
35	0.5217047046
36	0.5199515818
37	0.5183072723
38	0.5167359076
39	0.5149770527
40	0.5142164166
41	0.5125609664
42	0.5110371834
43	0.5095185829
44	0.5080977822
45	0.5076120745
46	0.5064497117
47	0.5058299202
48	0.5046023771
49	0.5034973815
50	0.502489125
51	0.501367478
52	0.500469151
53	0.4995626832
54	0.4992027123
55	0.4987693791
56	0.4978601594
57	0.4972549281
58	0.4964137425
59	0.4960988667
60	0.495689663
61	0.49538802
62	0.4946289791
63	0.4942049575
64	0.4938986678
65	0.4931428618
66	0.4928809492
67	0.4918376698
68	0.4915758857
69	0.4908029931
70	0.4900722149
71	0.489628323
72	0.4892087263
73	0.4889286837
74	0.4884052476
75	0.4875261944
76	0.4871321107
77	0.4867597745
78	0.4860868087
79	0.4856022686
80	0.4853775179
81	0.485076465
82	0.4849010541
83	0.4844766811
84	0.4835454296
85	0.4832286771
86	0.4829951995
87	0.4826950915
88	0.4820661206
89	0.481919098
90	0.4817388809
91	0.4813991096
92	0.4812928821
93	0.4809086166
94	0.4803719621
95	0.48017703
96	0.4799001736
97	0.4797503974
98	0.4794825996
99	0.4791957469
100	0.4790229414
101	0.4785765227
102	0.4783767657
103	0.478126087
104	0.4779304456
105	0.4776633052
106	0.4772930809
107	0.4770462181
108	0.4769111847
109	0.4767407828
110	0.4765246921
111	0.4760189814
112	0.4758283102
113	0.4754394376
114	0.4752634302
115	0.4751249271
116	0.4748208667
117	0.4746568006
118	0.4743094612
119	0.4740792462
120	0.4737043141
121	0.4734969163
122	0.4733238867
123	0.4729103256
124	0.4725493486
125	0.4723425161
126	0.4721323844
127	0.4719046111
128	0.4717415216
129	0.4714463898
130	0.4712486778
131	0.4708504045
132	0.4704278901
133	0.469969195
134	0.4698159085
135	0.4694048633
136	0.4691409353
137	0.4686110035
138	0.4683751758
139	0.4679493416
140	0.467859537
141	0.4676476522
142	0.4673849824
143	0.4671562319
144	0.4669493567
145	0.4665024553
146	0.4663725812
147	0.4662098767
148	0.4660799014
149	0.4659407611
150	0.46567025
151	0.4653199946
152	0.4651724741
153	0.4647994645
154	0.4645984
155	0.4642960889
